Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
IR0084_R1_paired	17.18186737491277	48.0	135.4680802548178	0.0	10130532.0
IR0084_R2_paired	15.028738668638425	48.0	112.14315654893544	0.0	10130532.0
IR0088_R1_paired	24.138496810092235	48.0	141.5532755171328	0.0	11644833.0
IR0088_R2_paired	19.471992375537454	48.0	110.26298994584121	0.0	11644833.0
IR0095_R1_paired	19.69760178379623	48.0	140.8098557143623	0.0	10856382.0
IR0095_R2_paired	15.876486463211876	48.0	112.56023516858563	0.0	10856382.0
IT0010_R1_paired	19.93549208044017	50.0	138.33361805507363	0.0	10317676.0
IT0010_R2_paired	15.815876849077398	50.0	112.64881044917479	0.0	10317676.0
JP0091_R1_paired	16.576909228936003	50.0	141.71667099655556	0.0	9087993.0
JP0091_R2_paired	13.148925428752491	50.0	113.33752094659404	0.0	9087993.0
LpKY-97-1_R1_paired	15.843470145807387	49.0	156.03415256377747	9.090909090909092	4014662.0
LpKY-97-1_R2_paired	15.60899399332314	49.0	138.72558536683786	9.090909090909092	4014662.0
ML0060_R1_paired	15.24673691514893	50.0	135.79410151039994	0.0	8136388.0
ML0060_R2_paired	12.936577489313365	50.0	112.57021481768076	0.0	8136388.0
ML0062_R1_paired	18.790019138661023	50.0	144.9921774719909	0.0	5966102.0
ML0062_R2_paired	13.919530747303952	50.0	110.29686217231955	0.0	5966102.0
ML33_R1_paired	21.445760542279416	49.0	210.22586244262163	9.090909090909092	2044107.0
ML33_R2_paired	20.462224854793305	49.0	176.9360992355097	9.090909090909092	2044107.0
NG0012_R1_paired	16.924639622226223	50.0	144.8801673497709	0.0	4722803.0
NG0012_R2_paired	12.147521694681075	50.0	108.84110855354331	0.0	4722803.0
NG0054_R1_paired	14.763110974369567	50.0	134.76477177845152	0.0	5275685.0
NG0054_R2_paired	12.89978496081784	49.0	115.31218372590479	0.0	5275685.0
NP0058_R1_paired	19.381139974901643	50.0	145.2171112311675	0.0	7446501.0
NP0058_R2_paired	13.31260735229327	50.0	100.18030602560854	0.0	7446501.0
P28_R1_paired	9.758006439604031	48.0	165.32211751211673	9.090909090909092	6657322.0
P28_R2_paired	8.835590956230519	48.0	139.8563824913381	18.181818181818183	6657322.0
P29_R1_paired	10.45529659876459	49.0	159.79410211434703	0.0	7954749.0
P29_R2_paired	10.45529659876459	49.0	159.79410211434703	0.0	7954749.0
P3_R1_paired	10.330072536581113	50.0	216.72995860831654	18.181818181818183	8902513.0
P3_R2_paired	9.077007962748041	50.0	153.9909398615874	18.181818181818183	8902513.0
PH42_R1_paired	3.9825376679583258	48.0	234.5358410501852	0.0	1057642.0
PH42_R2_paired	3.9077886002734488	48.0	200.92947424553867	0.0	1057642.0
PL2-1_R1_paired	18.00423237756972	49.0	201.98968211820045	10.0	3321612.0
PL2-1_R2_paired	16.841344959696784	49.0	163.99834417746564	10.0	3321612.0
Pg1213-22_R1_paired	13.154390091283048	49.0	175.96334961133144	9.090909090909092	2510751.0
Pg1213-22_R2_paired	12.57479183948547	49.0	145.33736161013178	9.090909090909092	2510751.0
PgKY4OV2-1_R1_paired	8.897811316584864	51.0	94.69868774649056	0.0	12880057.0
PgKY4OV2-1_R2_paired	8.204482159903478	51.0	91.45723687402936	0.0	12880057.0
PgPA18C-02_R1_paired	7.541318959599579	50.0	94.8795764782153	0.0	16418329.0
PgPA18C-02_R2_paired	6.700796968013066	50.0	90.97442778738323	0.0	16418329.0
SSFL02_R1_paired	13.701591068554222	49.0	195.1461056550141	9.090909090909092	1681605.0
SSFL02_R2_paired	12.633155130393462	49.0	150.10297662055	9.090909090909092	1681605.0
SSFL14-3_R1_paired	17.573962318833978	48.0	190.65301223285928	9.090909090909092	1931192.0
SSFL14-3_R2_paired	16.343464403744264	47.0	143.47486992489613	9.090909090909092	1931192.0
T25_R1_paired	9.458703627733243	50.0	210.94441739949832	9.090909090909092	9389719.0
T25_R2_paired	8.653314378415146	50.0	168.3407559906745	0.0	9389719.0
TG0004_R1_paired	15.663035929371603	50.0	142.33137230372083	0.0	5187751.0
TG0004_R2_paired	12.268105144428759	49.0	112.85030102639853	0.0	5187751.0
TG0032_R1_paired	18.509834866836627	50.0	145.33172225808107	0.0	7190229.0
TG0032_R2_paired	12.961272815293569	49.0	103.38109592893356	0.0	7190229.0
TN0001_R1_paired	18.631718409341048	50.0	144.81522158146075	0.0	6168702.0
TN0001_R2_paired	13.594143348896068	49.0	109.31617526669305	0.0	6168702.0
TN0002_R1_paired	19.924387449988416	50.0	144.94455048964184	0.0	7155230.0
TN0002_R2_paired	14.595316796824562	50.0	108.34222128429136	0.0	7155230.0
TN0050_R1_paired	16.1601169738761	51.0	142.10691655197502	0.0	7545595.0
TN0050_R2_paired	12.067426585025814	50.0	110.00474634538429	0.0	7545595.0
TN0057_R1_paired	19.0692570979418	50.0	144.79326507618188	0.0	7556522.0
TN0057_R2_paired	13.588505283225544	49.0	107.22507762168892	0.0	7556522.0
TN0065_R1_paired	17.212956862259645	49.0	134.41308726674706	0.0	7995451.0
TN0065_R2_paired	15.492950828209217	49.0	114.62144411866197	0.0	7995451.0
TN0090_R1_paired	18.063534191089957	50.0	145.39175021283882	0.0	6963016.0
TN0090_R2_paired	12.61792501784835	50.0	101.58837363004767	0.0	6963016.0
TR0025_R1_paired	17.884696028872654	51.0	141.31284827577628	0.0	9726667.0
TR0025_R2_paired	13.788766961256641	51.0	111.55851783555457	0.0	9726667.0
US0041_R1_paired	17.196972906409727	50.0	145.04179273491184	0.0	5060090.0
US0041_R2_paired	12.082321978704869	50.0	108.18808341353612	0.0	5060090.0
US0064_R1_paired	20.934408256085433	49.0	141.37926525247127	0.0	9445748.0
US0064_R2_paired	16.555766112872135	49.0	110.44765147238736	0.0	9445748.0
VT0027_R1_paired	18.971482259465887	50.0	144.3210629630756	0.0	4899173.0
VT0027_R2_paired	13.76579669743468	49.0	107.67315749004985	0.0	4899173.0
VT0030_R1_paired	17.716719648192793	50.0	145.034504470551	0.0	6195545.0
VT0030_R2_paired	12.93364085691752	49.0	110.12865550972514	0.0	6195545.0
Z2-1_R1_paired	15.851844817976527	47.0	68.38084529501292	0.0	23790416.0
Z2-1_R2_paired	16.594147099813256	47.0	69.66056264001436	9.090909090909092	23790416.0
