Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Br80_R1	20.311644223908758	49.0	255.55555344588788	9.090909090909092	5898770.0
Br80_R2	17.39363222207612	49.0	261.23363480861263	27.27272727272727	5898770.0
CD0065_R1	23.572403322985593	50.0	151.0	0.0	9942599.0
CD0065_R2	20.328701135779994	50.0	151.0	0.0	9942599.0
CD0142_R1	23.72219662314899	50.0	151.0	0.0	13576930.0
CD0142_R2	21.260155305430416	50.0	151.0	0.0	13576930.0
CH0043_R1	23.540408271301843	50.0	151.0	0.0	14352311.0
CH0043_R2	20.561804116121095	50.0	151.0	0.0	14352311.0
CH0072_R1	21.269589283533335	50.0	151.0	0.0	10607740.0
CH0072_R2	18.80668863698091	50.0	151.0	0.0	10607740.0
CH0452_R1	18.390240684805562	50.0	151.0	0.0	8063851.0
CH0452_R2	16.54576407748698	50.0	151.0	0.0	8063851.0
CH0461_R1	23.127399007092635	50.0	151.0	0.0	13548398.0
CH0461_R2	19.587811876766565	50.0	151.0	0.0	13548398.0
CH0533_R1	20.35975473011048	50.0	151.0	0.0	8374023.0
CH0533_R2	18.08624285692069	50.0	151.0	0.0	8374023.0
CH1103_R1	20.223484544902277	50.0	151.0	0.0	7554411.0
CH1103_R2	17.72453317497309	50.0	151.0	0.0	7554411.0
CH1164_R1	17.68618916466363	50.0	151.0	0.0	6329227.0
CH1164_R2	15.562408078049714	50.0	151.0	0.0	6329227.0
CHRF_R1	16.84576758039036	49.0	265.6778181259388	10.0	2980447.0
CHRF_R2	18.503718057288665	49.0	270.3326343288466	20.0	5133968.0
CHW_R1	16.29915491928095	49.0	270.6615642287159	9.090909090909092	2980536.0
CHW_R2	13.08587500519107	50.0	274.20423977432245	27.27272727272727	2980536.0
CM0028_R1	25.240257569585168	50.0	150.0	0.0	19691203.0
CM0028_R2	21.874848570559678	50.0	150.0	0.0	19691203.0
FR1067_R1	20.353808424948312	48.0	150.0	0.0	15180583.0
FR1067_R2	18.12166029351026	48.0	150.0	0.0	15180583.0
FR1069_R1	20.830456621424858	48.0	150.0	0.0	17308299.0
FR1069_R2	18.287012834129754	48.0	150.0	0.0	17308299.0
G17_R1	19.89093966798447	49.0	246.35885222562763	9.090909090909092	4689284.0
G17_R2	16.31661026977784	49.0	246.5251025529697	9.090909090909092	4689284.0
G22_R1	20.391932177150238	49.0	194.62702080774662	9.090909090909092	4562099.0
G22_R2	19.607898267217593	49.0	195.31580485210864	9.090909090909092	4562099.0
GFSI1-7-2_R1	28.2773084346792	46.0	75.0	0.0	30360775.0
GFSI1-7-2_R2	27.36473358942993	47.0	75.0	0.0	30360775.0
GG11_R1	9.705942086959155	49.0	225.153896	9.090909090909092	1000000.0
GG11_R2	8.080273006572298	49.0	225.516903	9.090909090909092	1000000.0
GN0001_R1	17.684731404873162	49.0	150.0	0.0	12269860.0
GN0001_R2	16.006817817864402	49.0	150.0	0.0	12269860.0
GY0040_R1	21.50881440265833	50.0	150.0	0.0	10306131.0
GY0040_R2	19.28408465323446	50.0	150.0	0.0	10306131.0
HO_R1	21.606749234453787	50.0	206.4229963246602	18.181818181818183	5917276.0
HO_R2	17.67270331359353	50.0	207.34330239116784	18.181818181818183	5917276.0
IA1_R1	18.875213280171835	50.0	234.7860343102055	9.090909090909092	3112485.0
IA1_R2	16.07190610420996	50.0	235.06466537188132	9.090909090909092	3112485.0
IB33_R1	17.615157289161658	49.0	246.71252277509967	9.090909090909092	1487370.0
IB33_R2	14.921661028882909	50.0	247.08141014004585	18.181818181818183	1487370.0
IB49_R1	24.565674987051878	49.0	199.47887112416473	9.090909090909092	5253545.0
IB49_R2	22.31895083720589	49.0	200.24881046988273	9.090909090909092	5253545.0
IC17_R1	19.569996997946163	49.0	211.777853483894	9.090909090909092	3350676.0
IC17_R2	17.79713509292776	50.0	212.01877471889256	9.090909090909092	3350676.0
IE1K_R1	30.805993516183193	50.0	239.1538713445889	9.090909090909092	7756207.0
IN0017_R1	20.906335588360747	49.0	151.0	0.0	6632096.0
IN0017_R2	17.76523047759686	49.0	151.0	0.0	6632096.0
IN0054_R1	23.32813502360466	50.0	151.0	0.0	12337576.0
IN0054_R2	20.653932293466355	50.0	151.0	0.0	12337576.0
IN0059_R1	19.603755102995535	49.0	151.0	0.0	5550111.0
IN0059_R2	17.2139368139308	49.0	151.0	0.0	5550111.0
IN0114_R1	22.794594461427337	50.0	151.0	0.0	11810162.0
IN0114_R2	20.387647647826967	50.0	151.0	0.0	11810162.0
IN0115_R1	24.197890326024577	50.0	151.0	0.0	13173876.0
IN0115_R2	21.050404769145274	50.0	151.0	0.0	13173876.0
IN0116_R1	24.832217193306562	50.0	151.0	0.0	13320426.0
IN0116_R2	21.961422133505295	50.0	151.0	0.0	13320426.0
INA168_R1	26.12294077240209	48.0	75.0	18.181818181818183	28816283.0
INA168_R2	26.535929878852855	48.0	75.0	0.0	28816283.0
IR00102_R1	21.51780931497474	49.0	150.0	0.0	16956380.0
IR00102_R2	19.160273698852862	49.0	150.0	0.0	16956380.0
IR0013_R1	20.907891622242545	48.0	150.0	0.0	15097517.0
