Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BN0123_R2	BN0123_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7919624.0	0.0	151.0	50.0	82.70256296860558	151.0	pass	warn	pass	pass	pass	warn	pass	pass	pass	pass	pass
BN0202_R1	BN0202_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8606161.0	0.0	151.0	50.0	79.34719098650417	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
BN0202_R2	BN0202_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8606161.0	0.0	151.0	50.0	82.15054214044504	151.0	pass	warn	warn	pass	pass	warn	pass	pass	pass	pass	pass
BN0252_R1	BN0252_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10841812.0	0.0	151.0	50.0	78.27979078307182	151.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
BN0252_R2	BN0252_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10841812.0	0.0	151.0	50.0	80.66822999723028	151.0	pass	pass	warn	pass	pass	warn	pass	pass	pass	pass	pass
Bd8401_R1	Bd8401_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2285797.0	0.0	35-251	50.0	87.16081599025226	244.93624893199177	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
Bd8401_R2	Bd8401_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2285797.0	0.0	35-251	51.0	89.31400950258009	245.11226543739448	pass	warn	pass	pass	fail	warn	pass	warn	pass	pass	pass
BdBar_R1	BdBar_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9004081.0	0.0	11-251	50.0	72.94029699692307	185.9803821178419	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass
BdBar_R2	BdBar_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9004081.0	0.0	10-244	50.0	77.2031573410075	158.3576682617582	pass	pass		pass	fail	pass	warn	warn	pass	pass	pass
Bm88324_R1	Bm88324_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3347837.0	0.0	35-251	49.0	80.23918006677897	247.77361681587246	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
